system_id,dataSource,artUrl,artDate,artTitle,artContent,boardID,commentCount,department,gender,school
1,Dcard,https://www.dcard.tw/f/youtuber/p/241101474,2023-01-29 08:15:21,#詢問 為什麼木曜觀看數變很低？,"先聲明沒有要引戰 是真心詢問
———

一直都有在看木曜
平常比較忙，是屬於那種閒下來時才會看一點的
-
之前在看的時候就隱約有注意到觀看數偏低
今天在刷新的單元時發現就像之前的料理大賽跟最近的料理大賽也差了將近100多萬的觀看數
因為他們的團隊比起其他網紅的團隊大上許多
有點想問那這樣得出來的結果會不會有點不成正比？

而且印象中以前木曜基本上新單元都可以很快達百萬…但這隻去日本的影片已經好幾天了都還沒破百？
—
是因為影片太長，所以大家後來都沒在看了嗎？",youtuber,278,醫學系,F,義守大學
2,Dcard,https://www.dcard.tw/f/youtuber/p/241102266,2023-01-29 10:26:04,toyz屌打館長對吧,"https://www.youtube.com/watch?v=QDKNdVXPotI
不管在各方面
明顯有理的就是toyz
館長就是沒邏輯瘋狂跳針無理取鬧的那一方

我們勾惡幫主也老早就看透館長這個人了
只能說不愧是幫主
永遠走在大家的前面
https://www.youtube.com/watch?v=0A3Iilngu_g",youtuber,31,covermax,M,卡提斯
3,Dcard,https://www.dcard.tw/f/youtuber/p/241108638,2023-01-30 08:24:32,廣告不用網路？,"https://www.dcard.tw/v2/vivid/videos/e8de9717-786a-4d35-b892-50858b2577a2?r=2.1621621621621623
YouTube到底在搞什麼，現在廣告都不用網路的喔，其他影片不能看就是破廣告可以看。",youtuber,2,,M,國立陽明交通大學
4,Dcard,https://www.dcard.tw/f/youtuber/p/240928638,2023-01-04 14:23:00,關於我的官司｜一場大型的台灣社會實驗｜吃瓜群眾真的在意真相嗎？｜波特王好帥,https://youtu.be/caBlUFAY1p0,youtuber,15,,M,國立宜蘭大學
5,Dcard,https://www.dcard.tw/f/youtuber/p/240959705,2023-01-08 14:16:25,VW和MAX好像…,"先說我是這兩個的粉絲
我也很喜歡他們

https://i.imgur.com/Y4hgsQc.jpg

https://i.imgur.com/Nx5WV0n.jpg

一直都有追蹤他們兩個的IG
可是刷到最後發現
他們有幾張照片跟風格還蠻像的
都是走酷酷風

不過還是依然很喜歡他們
兩位都很有才華😙",youtuber,8,,M,國立陽明交通大學
6,Dcard,https://www.dcard.tw/f/youtuber/p/240987044,2023-01-12 02:06:06,國動為何好久沒出新片了？,"也不算粉絲，只是偶爾無聊會看一下

記得上次看到是交換禮物的，後來更新好像變少，剛剛看已經好久沒更新了

有人知道國動最近怎麼少更新嗎？",youtuber,5,,M,樹德科技大學
7,Dcard,https://www.dcard.tw/f/youtuber/p/241016497,2023-01-15 20:26:53,資深藝人在這群人的新影片,"想請問大家有沒有人知道ft.人要花多少費用呀？

剛剛看了這群人的過節新片
看到以前電視上的藝人在這群人的影片
所以好奇了一下找人串場的費用
https://youtu.be/rOPtQEDqF5Y

是說前陣子打了麻將教學
後面禁忌跟有趣的事情 
影片講的更多🤣好生動 好好笑

https://www.dcard.tw/f/talk/p/240993634?cid=574BEC01-B677-42B2-ADC8-4037E79B029D",youtuber,6,,F,輔仁大學
8,Dcard,https://www.dcard.tw/f/youtuber/p/241023211,2023-01-16 16:56:25,反對網路霸凌，看見莎莎 =  愛莎17,"這位看見莎莎 = 愛莎17 
https://www.dcard.tw/@glorianotafraid
https://www.dcard.tw/@alisasa17

PTT帳號：
king548520
alisasa17
akumakei
akuma5566
語氣相同 也喜歡貓 會看籃球 
https://pttyes.com/Gossiping/M.1642956310.A.052
https://www.ptt.cc/bbs/WomenTalk/M.1642084313.A.589.html
兩篇文內容一樣 一篇發在八卦 一篇發在女版
https://i.imgur.com/w03x212.png
https://www.pttweb.cc/bbs/Gossiping/M.1673612571.A.901

公眾人物的言行可受公評
但是一個人什麼都沒做
截圖到網路上邀請大家去批判長相是對的嗎？
這種不良風氣還上熱門
我也不是滴妹的粉絲
用假詢問的方式有意引導難聽的留言出來
稱人是+9妹
https://i.imgur.com/mvq1vRp.png
https://i.imgur.com/JsqgZTO.png
讓我感到充分滿滿的惡意
感到超不舒服也很難過
像在看霸凌的戲劇劇情一樣
這不就血淋淋的上演嗎
也沒做什麼傷天害理的事情就要被留言攻擊成這樣
為什麼能做出這麼殘忍的事情？
如果是你的照片被貼到網路上讓一堆人訕笑
你難道不會難過嗎？
希望這個版要禁止惡意或人身攻擊Youtuber的文章",youtuber,8,holyshit0800,M,小榕樹
9,Dcard,https://www.dcard.tw/f/youtuber/p/241034209,2023-01-18 08:46:28,YT premium 湊團,"被刪文嗚嗚要的加進來限五名
目前差兩位

https://line.me/ti/g/mplTpMfKb_",youtuber,0,,F,馬偕醫護管理專科學校
10,Dcard,https://www.dcard.tw/f/youtuber/p/241013654,2023-01-15 12:38:41,滾吧中國藝人！演唱會上罵歐美，稱讚祖國像天堂；徐州八孩事隔一年，律師前往探視被警察阻擋,https://youtu.be/S_qkaQFUl8s,youtuber,0,,M,國立宜蘭大學
