system_id,dataSource,artUrl,artDate,artTitle,artContent,boardID,commentCount,department,gender,school
1,Dcard,https://www.dcard.tw/f/stock/p/255102277,2024-03-28 05:32:39,#分享 在這個群組潛水看不下去了,"鉛筆：老師（自稱）
為什麼盤中不能討論勒？
報當沖單卻罵成員抱不住？
-
1更：老輸一氣之下把有疑問的通通請出群組囉嘻嘻
-
看了一段時間了，很多次都是報牌然後開始上課（教訓）成員，股價崩盤只會說5%停損自己判斷，問問題基本上都不會回呦！
自稱老師的這位手上還有vip社群，看來這個免費社群根本就是接盤俠，幸好還在觀察中還沒跟單。
請各位小心～～群組內感覺有一位信仰值無限的信徒一直在護航

提示：ㄓㄩ 老師

",stock,47,,F,淡江大學
2,Dcard,https://www.dcard.tw/f/stock/p/255125559,2024-03-30 13:17:53,#請益 當沖的行業職業分類,"當沖者
在勞動部的正確分類跟標準職稱應該為何？
是自由業還是自營工作者呢？",stock,2,,F,國立臺中教育大學
3,Dcard,https://www.dcard.tw/f/stock/p/255117026,2024-03-29 13:33:44,#分享 #當沖,"半年總共當沖78次
50勝28負 勝率0.64

78次全部空單
每次15-60萬進出，一天操作一至兩擋股
一次被嘎漲停，隔日卷商回補含7%借券費共4萬

希望半年後我還能再發文
",stock,12,aqwedcxz,M,當沖只會凹單
4,Dcard,https://www.dcard.tw/f/stock/p/255106637,2024-03-28 12:55:57,#分享 3/27-3/28 當沖百萬計畫作罷,"這幾天出現了一些問題
新聞的中毒事件，身邊的人也在其中
搞得思緒很亂
當初玩當沖只是讓自己多關注股市
並獲得一些身邊的人認同
但一頓飯就可以讓寶貴的生命隕落
那追求的財富還是獲利都只是一朵曇花

我還是會分享我對於股市的分享及當沖的狀況
話不多說

昨天做了潤隆
開盤追，碰到穩漲試搓沒有跑掉
賠了快3%

今天做了波力
開盤追
這次在穩漲試搓前賣出
小小賺大大賠….


明天我會看佳必琪跟波力
最後祝各位都能平平安安 健健康康",stock,6,hey_bro,M,運氣特約商店🏦
5,Dcard,https://www.dcard.tw/f/stock/p/255112303,2024-03-29 04:58:52,#請益 #手續費#證卷,"請問有推薦手續費便宜的券商嗎
因為有在當沖所以希望能有更低的手續費
目前使用元大蠻習慣 但手續費無法調整
或是有元大營業員可以商量的也可以",stock,11,,M,國立勤益科技大學
6,Dcard,https://www.dcard.tw/f/stock/p/255106810,2024-03-28 13:09:52,#分享 [2024/3/28] 美股每日開市前重點新聞數據精選,"美國 CPI（按季）（第4季）實際：3.4% | 前值 3.2% | 預期 3.2% 

提提大家，明天美國股市休市

不過明天美東時間上午8時30分將會有PCE數據

Home Depot (HD)：
收購SRS Distribution，企業總價值（含淨債務）約182.5億美元

RH (RH)：
季度盈利遜預期 0.95 美元，收入遜預期； 25 財年收入指引高於共識； 預計今年營收將落後於需求

TD Synnex (SNX)：
定價二次發行 1,050 萬股普通股並同時回購股份

Chemours (CC)：
報告第四季（12 月）業績、收入勝預期； 確定財務報告內部控制截至 2023 年 12 月 31 日無效

MillerKnoll (MLK​​)：
季度盈利勝預期 0.01 美元，收入遜預期； 第四季每股收益指引低於共識，收入指引低於共識

Walgreens Boots Alliance (WBA)：
季度盈利勝預期0.38 美元，收入勝預期； 24 財年每股收益指引符合預期

Braze (BRZE)：
季度盈利勝預期 0.01 美元，收入勝預期； 第一季每股收益指引低於共識，收入指引高於共識；  25 財年每股收益指引低於共識，收入指引符合預期

Bank of America (BAC)：
匯豐銀行將其評級從買入下調至持有

Discover Financial Services (DFS)：
CEO Michael G. Rhodes 辭職，4 月 1 日生效；Michael G. Rhodes辭職後，J. Michael Shepherd 被任命為臨時CEO

Walt Disney (DIS)：
Walt Disney敦促股東僅投票給迪士尼的 12 名董事候選人

Snowflake (SNOW): 
CEO以 158.52 美元的價格購買了 31,542 股，價值約 500 萬美元

Toyota Motor (TM):
Toyota Motor (TM) 公佈 2 月份全球銷量 -6.9% 至 719,630 輛",stock,0,ustockmajor,M,美股系
7,Dcard,https://www.dcard.tw/f/stock/p/255102057,2024-03-28 05:08:37,#分享 上班炒股Day23,"這是上班炒股的第23天

日期：2024/03/28（星期四）
天氣：晴天
氣溫：26°

年齡：21歲
地區：桃園
職業：太陽能

身體狀態：非常良好
精神狀態：尚可
感情狀態：熱戀
經濟狀態：尚可

今日操作：續抱新興，等待噴出
操作心得：新興今天持續震盪，財富是留給有耐心的人，共勉之",stock,1,light0603,M,Million
8,Dcard,https://www.dcard.tw/f/stock/p/255116769,2024-03-29 13:08:50,#請益 元大中型100 ( 0051 ) 流動性好差,"最近開始買股票，0050大家都很熟了規模也很大
但是同類的0051為什麼那麼少人買啊，我看每天成交量都個位數的，也太慘了吧
究竟是甚麼原因？",stock,6,,M,元智大學
9,Dcard,https://www.dcard.tw/f/stock/p/255131801,2024-03-31 08:10:31,#請益 登入不了,"請問換手機之後登入不了e點通怎麼辦？
顯示無法與伺服器建立連線",stock,0,,M,國立聯合大學
10,Dcard,https://www.dcard.tw/f/stock/p/255107245,2024-03-28 13:47:21,#請益 三竹籌碼總覽,"各位板上大大安安：

小妹股市新手，最近努力學習股票中
想請問有人可以幫忙解惑以下融券、券賣、借券的差異嗎
因為我認知這三個名詞都是指借券賣出的意思
但看起來是有不同意義
謝謝各位股神，祝福大家績效大爆射
",stock,2,,F,國立臺北大學
